timestamp_ms,timestamp_iso,angleID,angle_deg
1778145077596,2026-05-07T09:11:17.596Z,left_knee,4.56
1778145077745,2026-05-07T09:11:17.745Z,left_knee,4.56
1778145077791,2026-05-07T09:11:17.791Z,left_knee,4.56
1778145077881,2026-05-07T09:11:17.881Z,left_knee,4.82
1778145078016,2026-05-07T09:11:18.016Z,left_knee,4.83
1778145078166,2026-05-07T09:11:18.166Z,left_knee,4.82
1778145078210,2026-05-07T09:11:18.210Z,left_knee,4.81
1778145078286,2026-05-07T09:11:18.286Z,left_knee,4.82
1778145078406,2026-05-07T09:11:18.406Z,left_knee,4.82
1778145078481,2026-05-07T09:11:18.481Z,left_knee,4.81
1778145078601,2026-05-07T09:11:18.601Z,left_knee,4.82
1778145078706,2026-05-07T09:11:18.706Z,left_knee,4.82
1778145078811,2026-05-07T09:11:18.811Z,left_knee,4.82
1778145078886,2026-05-07T09:11:18.886Z,left_knee,4.82
1778145079006,2026-05-07T09:11:19.006Z,left_knee,4.81
1778145079096,2026-05-07T09:11:19.096Z,left_knee,4.81
1778145079201,2026-05-07T09:11:19.201Z,left_knee,4.81
1778145079290,2026-05-07T09:11:19.290Z,left_knee,4.81
1778145079411,2026-05-07T09:11:19.411Z,left_knee,4.81
1778145079516,2026-05-07T09:11:19.516Z,left_knee,4.81
1778145079621,2026-05-07T09:11:19.621Z,left_knee,4.81
1778145079725,2026-05-07T09:11:19.725Z,left_knee,4.81
1778145079816,2026-05-07T09:11:19.816Z,left_knee,4.81
1778145079906,2026-05-07T09:11:19.906Z,left_knee,4.81
1778145080011,2026-05-07T09:11:20.011Z,left_knee,4.81
1778145080116,2026-05-07T09:11:20.116Z,left_knee,4.81
1778145080220,2026-05-07T09:11:20.220Z,left_knee,4.81
1778145080296,2026-05-07T09:11:20.296Z,left_knee,4.81
1778145080506,2026-05-07T09:11:20.506Z,left_knee,4.81
1778145080535,2026-05-07T09:11:20.535Z,left_knee,4.81
1778145080611,2026-05-07T09:11:20.611Z,left_knee,4.81
1778145080731,2026-05-07T09:11:20.731Z,left_knee,4.81
1778145080836,2026-05-07T09:11:20.836Z,left_knee,4.81
1778145080925,2026-05-07T09:11:20.925Z,left_knee,4.81
1778145081031,2026-05-07T09:11:21.031Z,left_knee,4.81
1778145081106,2026-05-07T09:11:21.106Z,left_knee,4.81
1778145081241,2026-05-07T09:11:21.241Z,left_knee,4.81
1778145081301,2026-05-07T09:11:21.301Z,left_knee,4.81
1778145081421,2026-05-07T09:11:21.421Z,left_knee,4.81
1778145081526,2026-05-07T09:11:21.526Z,left_knee,4.81
1778145081631,2026-05-07T09:11:21.631Z,left_knee,4.81
1778145081706,2026-05-07T09:11:21.706Z,left_knee,4.81
1778145081826,2026-05-07T09:11:21.826Z,left_knee,4.81
1778145081916,2026-05-07T09:11:21.916Z,left_knee,4.81
1778145082021,2026-05-07T09:11:22.021Z,left_knee,4.81
1778145082141,2026-05-07T09:11:22.141Z,left_knee,4.81
1778145082231,2026-05-07T09:11:22.231Z,left_knee,4.81
1778145082381,2026-05-07T09:11:22.381Z,left_knee,4.81
1778145082441,2026-05-07T09:11:22.441Z,left_knee,4.81
1778145082516,2026-05-07T09:11:22.516Z,left_knee,4.81
1778145082636,2026-05-07T09:11:22.636Z,left_knee,4.82
1778145082711,2026-05-07T09:11:22.711Z,left_knee,4.82
1778145082831,2026-05-07T09:11:22.831Z,left_knee,4.82
1778145082951,2026-05-07T09:11:22.951Z,left_knee,4.82
1778145083041,2026-05-07T09:11:23.041Z,left_knee,4.82
1778145083116,2026-05-07T09:11:23.116Z,left_knee,4.82
1778145083236,2026-05-07T09:11:23.236Z,left_knee,4.82
1778145083326,2026-05-07T09:11:23.326Z,left_knee,4.82
1778145083431,2026-05-07T09:11:23.431Z,left_knee,4.82
1778145083521,2026-05-07T09:11:23.521Z,left_knee,4.82
1778145083641,2026-05-07T09:11:23.641Z,left_knee,4.82
1778145083746,2026-05-07T09:11:23.746Z,left_knee,4.82
1778145083851,2026-05-07T09:11:23.851Z,left_knee,4.82
1778145083926,2026-05-07T09:11:23.926Z,left_knee,4.82
1778145084046,2026-05-07T09:11:24.046Z,left_knee,4.82
1778145084166,2026-05-07T09:11:24.166Z,left_knee,4.82
1778145084241,2026-05-07T09:11:24.241Z,left_knee,4.82
1778145084346,2026-05-07T09:11:24.346Z,left_knee,4.82
1778145084451,2026-05-07T09:11:24.451Z,left_knee,4.82
1778145084526,2026-05-07T09:11:24.526Z,left_knee,4.82
1778145084646,2026-05-07T09:11:24.646Z,left_knee,4.82
1778145084751,2026-05-07T09:11:24.751Z,left_knee,4.82
1778145084840,2026-05-07T09:11:24.840Z,left_knee,4.82
1778145084931,2026-05-07T09:11:24.931Z,left_knee,4.82
1778145085051,2026-05-07T09:11:25.051Z,left_knee,4.82
1778145085156,2026-05-07T09:11:25.156Z,left_knee,4.82
1778145085261,2026-05-07T09:11:25.261Z,left_knee,4.82
1778145085336,2026-05-07T09:11:25.336Z,left_knee,4.82
1778145085456,2026-05-07T09:11:25.456Z,left_knee,4.82
1778145085530,2026-05-07T09:11:25.530Z,left_knee,4.82
1778145085651,2026-05-07T09:11:25.651Z,left_knee,4.82
1778145085756,2026-05-07T09:11:25.756Z,left_knee,4.82
1778145085876,2026-05-07T09:11:25.876Z,left_knee,4.82
1778145085936,2026-05-07T09:11:25.936Z,left_knee,4.82
1778145086056,2026-05-07T09:11:26.056Z,left_knee,4.82
1778145086146,2026-05-07T09:11:26.146Z,left_knee,4.82
1778145086266,2026-05-07T09:11:26.266Z,left_knee,4.82
1778145086416,2026-05-07T09:11:26.416Z,left_knee,4.82
1778145086461,2026-05-07T09:11:26.461Z,left_knee,4.82
1778145086566,2026-05-07T09:11:26.566Z,left_knee,4.82
1778145086671,2026-05-07T09:11:26.671Z,left_knee,4.82
1778145086746,2026-05-07T09:11:26.746Z,left_knee,4.82
1778145086866,2026-05-07T09:11:26.866Z,left_knee,4.82
1778145086942,2026-05-07T09:11:26.942Z,left_knee,4.82
1778145087076,2026-05-07T09:11:27.076Z,left_knee,4.82
1778145087166,2026-05-07T09:11:27.166Z,left_knee,4.82
1778145087286,2026-05-07T09:11:27.286Z,left_knee,4.82
1778145087346,2026-05-07T09:11:27.346Z,left_knee,4.82
1778145087466,2026-05-07T09:11:27.466Z,left_knee,4.82
1778145087556,2026-05-07T09:11:27.556Z,left_knee,4.82
1778145087661,2026-05-07T09:11:27.661Z,left_knee,4.82
1778145087811,2026-05-07T09:11:27.811Z,left_knee,4.82
1778145087871,2026-05-07T09:11:27.871Z,left_knee,4.82
1778145087976,2026-05-07T09:11:27.976Z,left_knee,4.82
1778145088081,2026-05-07T09:11:28.081Z,left_knee,4.82
1778145088156,2026-05-07T09:11:28.156Z,left_knee,4.82
1778145088276,2026-05-07T09:11:28.276Z,left_knee,4.82
1778145088382,2026-05-07T09:11:28.382Z,left_knee,4.82
1778145088471,2026-05-07T09:11:28.471Z,left_knee,4.82
1778145088576,2026-05-07T09:11:28.576Z,left_knee,4.82
1778145088756,2026-05-07T09:11:28.756Z,left_knee,4.82
1778145088876,2026-05-07T09:11:28.876Z,left_knee,4.82
1778145088966,2026-05-07T09:11:28.966Z,left_knee,4.82
1778145089071,2026-05-07T09:11:29.071Z,left_knee,4.82
1778145089176,2026-05-07T09:11:29.176Z,left_knee,4.82
1778145089281,2026-05-07T09:11:29.281Z,left_knee,4.82
1778145089401,2026-05-07T09:11:29.401Z,left_knee,4.82
1778145089491,2026-05-07T09:11:29.491Z,left_knee,4.82
1778145089581,2026-05-07T09:11:29.581Z,left_knee,4.82
1778145089701,2026-05-07T09:11:29.701Z,left_knee,4.82
1778145089761,2026-05-07T09:11:29.761Z,left_knee,4.82
1778145089896,2026-05-07T09:11:29.896Z,left_knee,4.82
1778145089986,2026-05-07T09:11:29.986Z,left_knee,4.82
1778145090091,2026-05-07T09:11:30.091Z,left_knee,4.82
1778145090196,2026-05-07T09:11:30.196Z,left_knee,4.82
1778145090301,2026-05-07T09:11:30.301Z,left_knee,4.82
1778145090376,2026-05-07T09:11:30.376Z,left_knee,4.82
1778145090481,2026-05-07T09:11:30.481Z,left_knee,4.82
1778145090646,2026-05-07T09:11:30.646Z,left_knee,4.82
1778145090691,2026-05-07T09:11:30.691Z,left_knee,4.82
1778145090796,2026-05-07T09:11:30.796Z,left_knee,4.82
1778145090900,2026-05-07T09:11:30.900Z,left_knee,4.82
1778145090976,2026-05-07T09:11:30.976Z,left_knee,4.82
1778145091066,2026-05-07T09:11:31.066Z,left_knee,4.82
1778145091171,2026-05-07T09:11:31.171Z,left_knee,4.82
1778145091306,2026-05-07T09:11:31.306Z,left_knee,4.82
1778145091396,2026-05-07T09:11:31.396Z,left_knee,4.82
1778145091501,2026-05-07T09:11:31.501Z,left_knee,4.82
1778145091606,2026-05-07T09:11:31.606Z,left_knee,4.82
1778145091696,2026-05-07T09:11:31.696Z,left_knee,4.82
1778145091786,2026-05-07T09:11:31.786Z,left_knee,4.82
1778145091951,2026-05-07T09:11:31.951Z,left_knee,4.83
1778145091996,2026-05-07T09:11:31.996Z,left_knee,4.83
1778145092101,2026-05-07T09:11:32.101Z,left_knee,4.83
1778145092206,2026-05-07T09:11:32.206Z,left_knee,4.83
1778145092311,2026-05-07T09:11:32.311Z,left_knee,4.83
1778145092386,2026-05-07T09:11:32.386Z,left_knee,4.83
1778145092506,2026-05-07T09:11:32.506Z,left_knee,4.83
1778145092626,2026-05-07T09:11:32.626Z,left_knee,4.82
1778145092701,2026-05-07T09:11:32.701Z,left_knee,4.82
1778145092821,2026-05-07T09:11:32.821Z,left_knee,4.82
1778145092911,2026-05-07T09:11:32.911Z,left_knee,4.82
1778145093001,2026-05-07T09:11:33.001Z,left_knee,4.82
1778145093106,2026-05-07T09:11:33.106Z,left_knee,4.82
1778145093196,2026-05-07T09:11:33.196Z,left_knee,4.82
1778145093301,2026-05-07T09:11:33.301Z,left_knee,4.82
1778145093406,2026-05-07T09:11:33.406Z,left_knee,4.82
1778145093511,2026-05-07T09:11:33.511Z,left_knee,4.96
1778145093616,2026-05-07T09:11:33.616Z,left_knee,4.82
1778145093721,2026-05-07T09:11:33.721Z,left_knee,4.72
1778145093796,2026-05-07T09:11:33.796Z,left_knee,4.71
1778145093916,2026-05-07T09:11:33.916Z,left_knee,4.52
1778145093992,2026-05-07T09:11:33.992Z,left_knee,4.25
1778145094111,2026-05-07T09:11:34.111Z,left_knee,3.93
1778145094216,2026-05-07T09:11:34.216Z,left_knee,3.66
1778145094321,2026-05-07T09:11:34.321Z,left_knee,3.39
1778145094396,2026-05-07T09:11:34.396Z,left_knee,3.3
1778145094486,2026-05-07T09:11:34.486Z,left_knee,3.37
1778145094591,2026-05-07T09:11:34.591Z,left_knee,3.52
1778145094711,2026-05-07T09:11:34.711Z,left_knee,3.31
1778145094816,2026-05-07T09:11:34.816Z,left_knee,3.29
1778145094921,2026-05-07T09:11:34.921Z,left_knee,3.29
1778145095026,2026-05-07T09:11:35.026Z,left_knee,3.28
1778145095131,2026-05-07T09:11:35.131Z,left_knee,3.52
1778145095206,2026-05-07T09:11:35.206Z,left_knee,3.53
1778145095326,2026-05-07T09:11:35.326Z,left_knee,3.5
1778145095431,2026-05-07T09:11:35.431Z,left_knee,3.51
1778145095521,2026-05-07T09:11:35.521Z,left_knee,3.48
1778145095626,2026-05-07T09:11:35.626Z,left_knee,3.57
1778145095731,2026-05-07T09:11:35.731Z,left_knee,3.59
1778145095836,2026-05-07T09:11:35.836Z,left_knee,3.71
1778145095941,2026-05-07T09:11:35.941Z,left_knee,3.47
1778145096016,2026-05-07T09:11:36.016Z,left_knee,3.39
1778145096121,2026-05-07T09:11:36.121Z,left_knee,3.37
1778145096226,2026-05-07T09:11:36.226Z,left_knee,3.37
1778145096331,2026-05-07T09:11:36.331Z,left_knee,3.35
1778145096436,2026-05-07T09:11:36.436Z,left_knee,3.36
1778145096557,2026-05-07T09:11:36.557Z,left_knee,3.36
1778145096616,2026-05-07T09:11:36.616Z,left_knee,3.35
1778145096736,2026-05-07T09:11:36.736Z,left_knee,3.35
1778145096842,2026-05-07T09:11:36.842Z,left_knee,3.34
1778145096931,2026-05-07T09:11:36.931Z,left_knee,3.3
1778145097096,2026-05-07T09:11:37.096Z,left_knee,3.25
1778145097156,2026-05-07T09:11:37.156Z,left_knee,3.25
1778145097216,2026-05-07T09:11:37.216Z,left_knee,3.24
1778145097396,2026-05-07T09:11:37.396Z,left_knee,3.23
1778145097441,2026-05-07T09:11:37.441Z,left_knee,3.22
1778145097532,2026-05-07T09:11:37.532Z,left_knee,3.22
1778145097636,2026-05-07T09:11:37.636Z,left_knee,3.21
1778145097741,2026-05-07T09:11:37.741Z,left_knee,3.21
1778145097847,2026-05-07T09:11:37.847Z,left_knee,3.21
1778145097951,2026-05-07T09:11:37.951Z,left_knee,3.2
1778145098026,2026-05-07T09:11:38.026Z,left_knee,3.2
1778145098146,2026-05-07T09:11:38.146Z,left_knee,3.2
1778145098221,2026-05-07T09:11:38.221Z,left_knee,3.2
1778145098341,2026-05-07T09:11:38.341Z,left_knee,3.19
1778145098446,2026-05-07T09:11:38.446Z,left_knee,3.19
1778145098551,2026-05-07T09:11:38.551Z,left_knee,3.19
1778145098626,2026-05-07T09:11:38.626Z,left_knee,3.19
1778145098746,2026-05-07T09:11:38.746Z,left_knee,3.18
1778145098821,2026-05-07T09:11:38.821Z,left_knee,3.18
1778145098941,2026-05-07T09:11:38.941Z,left_knee,3.18
1778145099047,2026-05-07T09:11:39.047Z,left_knee,3.18
1778145099151,2026-05-07T09:11:39.151Z,left_knee,3.17
1778145099256,2026-05-07T09:11:39.256Z,left_knee,3.17
1778145099362,2026-05-07T09:11:39.362Z,left_knee,3.17
1778145099436,2026-05-07T09:11:39.436Z,left_knee,3.17
1778145099556,2026-05-07T09:11:39.556Z,left_knee,3.17
1778145099631,2026-05-07T09:11:39.631Z,left_knee,3.16
1778145099751,2026-05-07T09:11:39.751Z,left_knee,3.16
1778145099856,2026-05-07T09:11:39.856Z,left_knee,3.16
1778145099961,2026-05-07T09:11:39.961Z,left_knee,3.16
1778145100037,2026-05-07T09:11:40.037Z,left_knee,3.16
1778145100155,2026-05-07T09:11:40.155Z,left_knee,3.15
1778145100276,2026-05-07T09:11:40.276Z,left_knee,3.19
1778145100351,2026-05-07T09:11:40.351Z,left_knee,3.26
1778145100456,2026-05-07T09:11:40.456Z,left_knee,3.43
1778145100576,2026-05-07T09:11:40.576Z,left_knee,3.61
1778145100666,2026-05-07T09:11:40.666Z,left_knee,3.43
1778145100771,2026-05-07T09:11:40.771Z,left_knee,3.4
1778145100846,2026-05-07T09:11:40.846Z,left_knee,3.41
1778145100966,2026-05-07T09:11:40.966Z,left_knee,3.41
1778145101041,2026-05-07T09:11:41.041Z,left_knee,3.48
1778145101161,2026-05-07T09:11:41.161Z,left_knee,3.68
1778145101266,2026-05-07T09:11:41.266Z,left_knee,3.75
1778145101371,2026-05-07T09:11:41.371Z,left_knee,3.31
1778145101446,2026-05-07T09:11:41.446Z,left_knee,3.42
1778145101566,2026-05-07T09:11:41.566Z,left_knee,1.46
